书名,链接,作者,出版社,出版日期,价格,星级,评论数
追风筝的人,https://book.douban.com/subject/1770782/,[美] 卡勒德·胡赛尼 , 上海人民出版社 , 2006-5 , 29.00元,8.9,"(
                    397722人评价
                )"
解忧杂货店,https://book.douban.com/subject/25862578/,[日] 东野圭吾 , 南海出版公司 , 2014-5 , 39.50元,8.5,"(
                    380208人评价
                )"
小王子,https://book.douban.com/subject/1084336/,[法] 圣埃克苏佩里 , 人民文学出版社 , 2003-8 , 22.00元,9.0,"(
                    320548人评价
                )"
白夜行,https://book.douban.com/subject/3259440/,[日] 东野圭吾 , 南海出版公司 , 2008-9 , 29.80元,9.1,"(
                    280479人评价
                )"
围城,https://book.douban.com/subject/1008145/,钱锺书 , 人民文学出版社 , 1991-2 , 19.00,8.9,"(
                    241714人评价
                )"
三体,https://book.douban.com/subject/2567698/,刘慈欣 , 重庆出版社 , 2008-1 , 23.00,8.8,"(
                    230287人评价
                )"
嫌疑人X的献身,https://book.douban.com/subject/3211779/,[日] 东野圭吾 , 南海出版公司 , 2008-9 , 28.00,8.9,"(
                    226784人评价
                )"
挪威的森林,https://book.douban.com/subject/1046265/,[日] 村上春树 , 上海译文出版社 , 2001-2 , 18.80元,8.0,"(
                    229283人评价
                )"
百年孤独,https://book.douban.com/subject/6082808/,[哥伦比亚] 加西亚·马尔克斯 , 南海出版公司 , 2011-6 , 39.50元,9.2,"(
                    173436人评价
                )"
活着,https://book.douban.com/subject/4913064/,余华 , 作家出版社 , 2012-8-1 , 20.00元,9.3,"(
                    170938人评价
                )"
红楼梦,https://book.douban.com/subject/1007305/,[清] 曹雪芹 著 , 人民文学出版社 , 1996-12 , 59.70元,9.6,"(
                    165321人评价
                )"
看见,https://book.douban.com/subject/20427187/,柴静 , 广西师范大学出版社 , 2013-1-1 , 39.80元,8.8,"(
                    168609人评价
                )"
不能承受的生命之轻,https://book.douban.com/subject/1017143/,[捷克] 米兰·昆德拉 , 上海译文出版社 , 2003-7 , 23.00元,8.5,"(
                    158409人评价
                )"
平凡的世界（全三部）,https://book.douban.com/subject/1200840/,路遥 , 人民文学出版社 , 2005-1 , 64.00元,9.0,"(
                    141991人评价
                )"
三体Ⅱ,https://book.douban.com/subject/3066477/,刘慈欣 , 重庆出版社 , 2008-5 , 32.00,9.3,"(
                    135149人评价
                )"
达·芬奇密码,https://book.douban.com/subject/1040771/,[美] 丹·布朗 , 上海人民出版社 , 2004-2 , 28.00元,8.2,"(
                    153676人评价
                )"
三体Ⅲ,https://book.douban.com/subject/5363767/,刘慈欣 , 重庆出版社 , 2010-11 , 38.00元,9.2,"(
                    134069人评价
                )"
简爱（英文全本）,https://book.douban.com/subject/1141406/,[英] 夏洛蒂·勃朗特 , 世界图书出版公司 , 2003-11 , 18.00元,8.5,"(
                    130058人评价
                )"
我们仨,https://book.douban.com/subject/1023045/,杨绛 , 生活·读书·新知三联书店 , 2003-7 , 18.80元,8.7,"(
                    125222人评价
                )"
天才在左 疯子在右,https://book.douban.com/subject/4242172/,高铭 , 武汉大学出版社 , 2010-2 , 29.80元,8.2,"(
                    133982人评价
                )"
哈利·波特与魔法石,https://book.douban.com/subject/1041007/,[英] J. K. 罗琳 , 人民文学出版社 , 2000-9 , 19.50元,9.0,"(
                    113016人评价
                )"
傲慢与偏见,https://book.douban.com/subject/1083428/,[英] 奥斯丁 , 人民文学出版社 , 1993-7 , 13.00元,8.8,"(
                    112862人评价
                )"
明朝那些事儿（壹）,https://book.douban.com/subject/1873231/,当年明月 , 中国友谊出版公司 , 2006-9 , 24.80,8.7,"(
                    112340人评价
                )"
目送,https://book.douban.com/subject/3995526/,龙应台 , 生活·读书·新知三联书店 , 2009-10 , 39.00元,8.7,"(
                    112852人评价
                )"
飘,https://book.douban.com/subject/1068920/,[美国] 玛格丽特·米切尔 , 译林出版社 , 2000-9 , 40.00元,9.3,"(
                    99609人评价
                )"
恶意,https://book.douban.com/subject/3646172/,[日] 东野圭吾 , 南海出版公司 , 2009-6 , 18.00,8.4,"(
                    107404人评价
                )"
倾城之恋,https://book.douban.com/subject/1090043/,花城出版社 ,花城出版社 , 1997-3-1 , 11.00,8.5,"(
                    107794人评价
                )"
霍乱时期的爱情,https://book.douban.com/subject/10594787/,[哥伦比亚] 加西亚·马尔克斯 , 南海出版公司 , 2012-9-1 , 39.50元,9.0,"(
                    99764人评价
                )"
送你一颗子弹,https://book.douban.com/subject/4238362/,刘瑜 , 上海三联书店 , 2010-1 , 25.00元,8.6,"(
                    103454人评价
                )"
撒哈拉的故事,https://book.douban.com/subject/1361264/,三毛 , 皇冠出版社 , 1976 , 160 TWD,9.0,"(
                    95781人评价
                )"
边城,https://book.douban.com/subject/1057244/,沈从文 , 北岳文艺出版社 , 2002-4 , 12.00元,8.6,"(
                    100366人评价
                )"
许三观卖血记,https://book.douban.com/subject/1029791/,余华 , 南海出版公司 , 1998-9 , 16.80元,8.7,"(
                    96562人评价
                )"
哈利·波特与阿兹卡班的囚徒,https://book.douban.com/subject/1071241/,[英] J. K. 罗琳 , 人民文学出版社 , 2000-9 , 26.50元,8.9,"(
                    91937人评价
                )"
狼图腾,https://book.douban.com/subject/1022060/,姜戎 , 长江文艺出版社 , 2004-4 , 32.00元,8.2,"(
                    99901人评价
                )"
情人,https://book.douban.com/subject/1400705/,[法] 玛格丽特·杜拉斯 , 上海译文出版社 , 2005-7 , 20.00元,8.1,"(
                    103314人评价
                )"
哈利·波特与火焰杯,https://book.douban.com/subject/1009257/,[英] J. K. 罗琳 , 人民文学出版社 , 2001-5 , 39.80元,9.0,"(
                    88479人评价
                )"
哈利·波特与密室,https://book.douban.com/subject/1039487/,[英] J. K. 罗琳 , 人民文学出版社 , 2000-9 , 22.00元,8.9,"(
                    88639人评价
                )"
穆斯林的葬礼,https://book.douban.com/subject/1082334/,霍达 , 北京十月文艺出版社 , 1988-12-1 , 32.00,8.2,"(
                    95233人评价
                )"
万历十五年,https://book.douban.com/subject/1041482/,[美] 黄仁宇 , 生活·读书·新知三联书店 , 1997-5 , 18.00元,8.9,"(
                    86843人评价
                )"
盗墓笔记,https://book.douban.com/subject/1948901/,南派三叔 , 中国友谊出版公司 , 2007-1 , 26.80元,8.3,"(
                    90244人评价
                )"
1Q84 BOOK 1,https://book.douban.com/subject/4742918/,[日] 村上春树 , 南海出版公司 , 2010-5 , 36.00元,8.3,"(
                    90716人评价
                )"
窗边的小豆豆,https://book.douban.com/subject/1007914/,[日] 黑柳彻子 著 , 南海出版公司 , 2003-1 , 20.00元,8.7,"(
                    83455人评价
                )"
黄金时代,https://book.douban.com/subject/1089243/,王小波 , 花城出版社 , 1999-3 , 19.00元,8.8,"(
                    78898人评价
                )"
哈利·波特与混血王子,https://book.douban.com/subject/1432596/,[英] J. K. 罗琳 , 人民文学出版社 , 2005-10 , 58.00元,8.8,"(
                    77626人评价
                )"
人间失格,https://book.douban.com/subject/4011670/,太宰治 , 吉林出版集团有限责任公司 , 2009年9月 , 16.00元,8.3,"(
                    83655人评价
                )"
向左走·向右走,https://book.douban.com/subject/1066462/,幾米 , 生活·读书·新知三联书店 , 2002-8 , 16.00元,8.4,"(
                    81344人评价
                )"
老人与海,https://book.douban.com/subject/1064275/,海明威 , 上海译文出版社 , 1999-10 , 8.20元,8.3,"(
                    79956人评价
                )"
三国演义（全二册）,https://book.douban.com/subject/1019568/,[明] 罗贯中 , 人民文学出版社 , 1998-05 , 39.50元,9.2,"(
                    71134人评价
                )"
1984,https://book.douban.com/subject/4820710/,[英] 乔治·奥威尔 , 北京十月文艺出版社 , 2010-4-1 , 28.00,9.3,"(
                    70571人评价
                )"
莲花,https://book.douban.com/subject/1529893/,安妮宝贝 , 作家出版社 , 2006-3 , 25.00元,8.0,"(
                    82813人评价
                )"
苏菲的世界,https://book.douban.com/subject/1045818/,（挪威）乔斯坦·贾德 , 作家出版社 , 1999-04 , 26.80元,8.5,"(
                    77155人评价
                )"
哈利·波特与凤凰社,https://book.douban.com/subject/1013129/,[英] J. K. 罗琳 , 人民文学出版社 , 2003-9 , 59.00元,8.7,"(
                    74010人评价
                )"
悟空传,https://book.douban.com/subject/1003000/,今何在 , 光明日报出版社 , 2001-4 , 14.80元,8.4,"(
                    78559人评价
                )"
牧羊少年奇幻之旅,https://book.douban.com/subject/3608208/,[巴西]保罗·柯艾略 , 南海出版公司 , 2009-3-1 , 25.00元,8.6,"(
                    75867人评价
                )"
人类简史,https://book.douban.com/subject/25985021/,[以色列] 尤瓦尔·赫拉利 , 中信出版社 , 2014-11 , CNY 68.00,9.1,"(
                    70907人评价
                )"
天龙八部,https://book.douban.com/subject/1255625/,金庸 , 三联书店 , 1994-5 , 96.0,9.1,"(
                    69684人评价
                )"
哈利·波特与死亡圣器,https://book.douban.com/subject/2295163/,[英] J. K. 罗琳 , 人民文学出版社 , 2007-10 , 66.00元,9.0,"(
                    68830人评价
                )"
呼啸山庄,https://book.douban.com/subject/1119522/,（英）勃朗特 , 人民文学出版社 , 1999-01-01 , 27.30元,8.4,"(
                    71492人评价
                )"
亲爱的安德烈,https://book.douban.com/subject/3369793/,龙应台 , 人民文学出版社 , 2008-12 , 26.00,8.7,"(
                    69205人评价
                )"
灿烂千阳,https://book.douban.com/subject/2143732/,[美] 卡勒德·胡赛尼 , 上海人民出版社 , 2007-9 , 28.00元,8.8,"(
                    66109人评价
                )"
基督山伯爵,https://book.douban.com/subject/1085860/,大仲马 , 上海译文出版社 , 1991-12-1 , 43.90元,9.0,"(
                    64852人评价
                )"
无声告白,https://book.douban.com/subject/26382433/,[美] 伍绮诗 , 江苏凤凰文艺出版社 , 2015-7 , 35.00元,8.2,"(
                    71844人评价
                )"
海边的卡夫卡,https://book.douban.com/subject/1059419/,[日] 村上春树 , 上海译文出版社 , 2003-4 , 25.00元,8.1,"(
                    71677人评价
                )"
兄弟（上）,https://book.douban.com/subject/1401425/,余华 , 上海文艺出版社 , 2005-8 , 16.00元,8.3,"(
                    67383人评价
                )"
笑傲江湖（全四册）,https://book.douban.com/subject/1002299/,金庸 , 生活·读书·新知三联书店 , 1994-5 , 76.80元,9.0,"(
                    61783人评价
                )"
鲁滨逊漂流记,https://book.douban.com/subject/1016003/,[英] 笛福 , 广西民族出版社 , 2002-1 , 9.20元,8.0,"(
                    69348人评价
                )"
白鹿原,https://book.douban.com/subject/1085799/,陈忠实 , 人民文学出版社 , 1997-12 , 28.00元,8.7,"(
                    62981人评价
                )"
福尔摩斯探案全集（上中下）,https://book.douban.com/subject/1040211/,[英] 阿·柯南道尔 , 1981-8 , 53.00元,68.00元,9.2,"(
                    59014人评价
                )"
少有人走的路,https://book.douban.com/subject/1775691/,[美] M·斯科特·派克 , 吉林文史出版社 , 2007-1 , 26.00元,8.4,"(
                    65328人评价
                )"
茶花女,https://book.douban.com/subject/1013380/,小仲马 , 外国文学出版社 , 1997-3 , 9.00元,8.2,"(
                    67083人评价
                )"
一个陌生女人的来信,https://book.douban.com/subject/2154960/,[奥] 斯台芬·茨威格 , 上海译文出版社 , 2007-7 , 20.00元,8.7,"(
                    62462人评价
                )"
沉默的大多数,https://book.douban.com/subject/1054685/,王小波 , 中国青年出版社 , 1997-10 , 27.00元,9.1,"(
                    58627人评价
                )"
局外人,https://book.douban.com/subject/4908885/,[法] 阿尔贝·加缪 , 上海译文出版社 , 2010-9 , 22.00元,9.0,"(
                    57271人评价
                )"
民主的细节,https://book.douban.com/subject/3813669/,刘瑜 , 上海三联书店 , 2009-6 , 25.00,8.6,"(
                    60001人评价
                )"
情书,https://book.douban.com/subject/1080370/,[日] 岩井俊二 , 天津人民出版社 , 2004-7 , 18.00元,8.6,"(
                    59197人评价
                )"
房思琪的初恋乐园,https://book.douban.com/subject/27614904/,林奕含 , 北京联合出版公司 , 2018-1 , 45.00元,9.2,"(
                    55075人评价
                )"
神雕侠侣,https://book.douban.com/subject/1255624/,金庸 , 生活·读书·新知三联书店 , 1994-5 , 76.80元,8.8,"(
                    55779人评价
                )"
遇见未知的自己,https://book.douban.com/subject/2340100/,张德芬 , 华夏出版社 , 2008-1 , 29.00,8.0,"(
                    61515人评价
                )"
东方快车谋杀案,https://book.douban.com/subject/1827374/,[英] 阿加莎·克里斯蒂 , 人民文学出版社 , 2006-5 , 18.00元,9.0,"(
                    54556人评价
                )"
骆驼祥子,https://book.douban.com/subject/1043815/,老舍 , 人民文学出版社 , 2000-3-1 , 12.00,8.3,"(
                    59013人评价
                )"
了不起的盖茨比,https://book.douban.com/subject/1008988/,菲茨杰拉德 , 人民文学出版社 , 2004-06 , 12.00元,8.3,"(
                    57102人评价
                )"
无人生还,https://book.douban.com/subject/3006581/,[英] 阿加莎・克里斯蒂 , 人民文学出版社 , 2008-3 , 19.00,8.9,"(
                    52749人评价
                )"
肖申克的救赎,https://book.douban.com/subject/1829226/,[美] 斯蒂芬·金 , 人民文学出版社 , 2006-7 , 29.90元,9.1,"(
                    51118人评价
                )"
巴黎圣母院,https://book.douban.com/subject/1024197/,[法]雨果 , 人民文学出版社 , 1982-6 , 22.50元,8.3,"(
                    55885人评价
                )"
羊脂球,https://book.douban.com/subject/1205370/,（法）莫泊桑 , 北京燕山出版社 , 2007-6 , 13.50元,8.1,"(
                    56646人评价
                )"
当我谈跑步时我谈些什么,https://book.douban.com/subject/3369600/,[日] 村上春树 , 南海出版公司 , 2009-1 , 25.00,8.1,"(
                    56604人评价
                )"
呐喊,https://book.douban.com/subject/1449351/,鲁迅 , 人民文学出版社 , 1973年3月 , 0.36元,8.9,"(
                    50554人评价
                )"
爱你就像爱生命,https://book.douban.com/subject/3071717/,王小波 , 上海锦绣文章出版社 , 2008-5 , 18.00元,8.8,"(
                    50256人评价
                )"
乌合之众,https://book.douban.com/subject/1012611/,（法）勒庞 , 中央编译出版社 , 2011-5-1 , 16.00元,8.2,"(
                    54405人评价
                )"
动物农场,https://book.douban.com/subject/2035179/,[英] 乔治·奥威尔 , 上海译文出版社 , 2007-3 , 10.00元,9.2,"(
                    47846人评价
                )"
红玫瑰与白玫瑰,https://book.douban.com/subject/1014278/,张爱玲 , 花城出版社 , 1996-06 , 12.80元,8.4,"(
                    51903人评价
                )"
巨人的陨落,https://book.douban.com/subject/26698660/,[英] 肯·福莱特 , 江苏凤凰文艺出版社 , 2016-5-1 , 129.80元,8.9,"(
                    47247人评价
                )"
安徒生童话故事集,https://book.douban.com/subject/1046209/,（丹麦）安徒生 , 人民文学出版社 , 1997-08 , 25.00,9.2,"(
                    45824人评价
                )"
这些都是你给我的爱,https://book.douban.com/subject/4714734/,文：安东尼 , 长江文艺出版社 , 2010-3 , 24.80元,8.4,"(
                    49970人评价
                )"
这些人，那些事,https://book.douban.com/subject/6388661/,吴念真 , 译林出版社 , 2011-9 , 28.00元,8.8,"(
                    47666人评价
                )"
鬼吹灯之精绝古城,https://book.douban.com/subject/1882933/,天下霸唱 , 安徽文艺出版社 , 2006 , 25.00元,8.1,"(
                    50018人评价
                )"
喜宝,https://book.douban.com/subject/2022979/,亦舒 , 新世界出版社 , 2007-2 , 22.00元,8.0,"(
                    51440人评价
                )"
陪安东尼度过漫长岁月,https://book.douban.com/subject/3014576/,安东尼 , 长江文艺出版社 , 2008-3 , 18.00,8.3,"(
                    49108人评价
                )"
华胥引（全二册）,https://book.douban.com/subject/5916880/,唐七公子 , 现代出版社 , 2011-1 , 39.80元,8.4,"(
                    48580人评价
                )"
半生缘,https://book.douban.com/subject/1963684/,张爱玲 , 北京十月文艺出版社 , 2006-12 , 28.00元,8.6,"(
                    46262人评价
                )"
射雕英雄传（全四册）,https://book.douban.com/subject/1044547/,金庸 , 生活·读书·新知三联书店 , 1999-04 , 47.00元,8.9,"(
                    41403人评价
                )"
阿Q正传,https://book.douban.com/subject/1088065/,鲁迅 , 上海书店出版社 , 2003-7 , 14.50元,8.7,"(
                    42503人评价
                )"
城南旧事,https://book.douban.com/subject/1254588/,林海音 文 , 中国青年出版社 , 2003-7 , 16.00元,9.0,"(
                    40779人评价
                )"
一个人的朝圣,https://book.douban.com/subject/24934182/,【英】蕾秋·乔伊斯 , 北京联合出版公司 , 2013-9-1 , 32.80,8.1,"(
                    44739人评价
                )"
地下铁,https://book.douban.com/subject/1056733/,幾米 , 辽宁教育出版社 , 2002-2 , 32.00元,8.3,"(
                    43233人评价
                )"
如何阅读一本书,https://book.douban.com/subject/1013208/,[美] 莫提默·J. 艾德勒 , 商务印书馆 , 2004-1 , 38.00元,8.4,"(
                    42940人评价
                )"
一只特立独行的猪,https://book.douban.com/subject/1767945/,王小波 , 北方文艺出版社 , 2006-4 , 18.80元,8.8,"(
                    40230人评价
                )"
梦里花落知多少,https://book.douban.com/subject/2070844/,三毛 , 北京十月文艺出版社 , 2007-6 , 28.00元,8.8,"(
                    40257人评价
                )"
我不喜欢这世界，我只喜欢你,https://book.douban.com/subject/26414020/,乔一 , 湖南少年儿童出版社 , 2015-5-1 , 29.80元,8.0,"(
                    41706人评价
                )"
月亮忘記了,https://book.douban.com/subject/1358873/,幾米 , 格林 , 2000-2-1 , NT$ 299,8.6,"(
                    39009人评价
                )"
孩子你慢慢来,https://book.douban.com/subject/4207781/,龙应台 , 生活·读书·新知三联书店 , 2009-12-1 , 28.00元,8.8,"(
                    38327人评价
                )"
孤独六讲,https://book.douban.com/subject/4124727/,蒋勋 , 广西师范大学出版社 , 2009-10-1 , 36.00元,8.1,"(
                    41776人评价
                )"
格林童话全集,https://book.douban.com/subject/1043008/,格林兄弟 , 人民文学出版社 , 1994-11 , 21.45元,9.0,"(
                    37287人评价
                )"
此间的少年,https://book.douban.com/subject/1020459/,江南 , 华文出版社 , 2004-1 , 25.00元,8.4,"(
                    39748人评价
                )"
刀锋,https://book.douban.com/subject/2035162/,[英]毛姆 , 上海译文出版社 , 2007-3 , 18.00元,9.0,"(
                    36378人评价
                )"
步步惊心,https://book.douban.com/subject/1812439/,桐华 , 民族出版社 , 2006-6 , 25.00元,8.1,"(
                    40627人评价
                )"
麦琪的礼物,https://book.douban.com/subject/1051193/,[美] 欧·亨利 , 上海社会科学院出版社 , 2003-7 , 25.00元,8.6,"(
                    37434人评价
                )"
一個人住第5年,https://book.douban.com/subject/1346815/,高木直子 , 大田 , 2004-12-1 , NT$220,8.4,"(
                    37413人评价
                )"
月亮与六便士,https://book.douban.com/subject/26954760/,[英] 威廉·萨默塞特·毛姆 , 浙江文艺出版社 , 2017-1-1 , 39.80元,8.8,"(
                    36747人评价
                )"
荆棘鸟,https://book.douban.com/subject/1086249/,[澳] 考琳·麦卡洛 , 译林出版社 , 1998-7 , 28.00元,8.6,"(
                    36074人评价
                )"
朝花夕拾,https://book.douban.com/subject/1449352/,鲁迅 , 人民文学出版社 , 1972年4月 , 0.25元,8.7,"(
                    35995人评价
                )"
尘埃落定,https://book.douban.com/subject/1080309/,阿来 , 人民文学出版社 , 1998-3-1 , 22.0,8.4,"(
                    36829人评价
                )"
常识,https://book.douban.com/subject/3344676/,梁文道 , 广西师范大学出版社 , 2009-1 , 38.00,8.1,"(
                    38329人评价
                )"
寻路中国,https://book.douban.com/subject/5414391/,[美] 彼得·海斯勒 , 上海译文出版社 , 2011-1 , 33.00元,9.0,"(
                    34160人评价
                )"
