书名,链接,作者,出版社,出版日期,价格,星级,评论数
哭泣的骆驼,https://book.douban.com/subject/1029111/,三毛 , 哈尔滨出版社 , 2003-6 , 15.80元,8.9,"(
                    34218人评价
                )"
你好，旧时光（上 下）,https://book.douban.com/subject/4166819/,八月长安 , 新世界出版社 , 2009-12 , 39.80元,8.8,"(
                    34545人评价
                )"
菊与刀,https://book.douban.com/subject/1022238/,（美）鲁思・本尼迪克特 , 商务印书馆 , 1990-6 , 16.00,8.2,"(
                    37864人评价
                )"
那些回不去的年少时光,https://book.douban.com/subject/4231381/,桐华 , 江苏文艺出版社 , 2010-01 , 23.80元,8.5,"(
                    35433人评价
                )"
金锁记,https://book.douban.com/subject/3017857/,张爱玲 , 哈尔滨出版社 , 2005-6 , 13.5元,8.5,"(
                    35519人评价
                )"
时间旅行者的妻子,https://book.douban.com/subject/2056749/,[美] 奥德丽·尼芬格 , 人民文学出版社 , 2007-4 , 29.90元,8.1,"(
                    37396人评价
                )"
杀死一只知更鸟,https://book.douban.com/subject/6781808/,[美] 哈珀·李 , 译林出版社 , 2012-9 , 32.00元,9.2,"(
                    32317人评价
                )"
查令十字街84号,https://book.douban.com/subject/1316648/,[美] 海莲·汉芙 , 译林出版社 , 2005-05-01 , 18.00元,8.3,"(
                    36011人评价
                )"
悲惨世界（上中下）,https://book.douban.com/subject/1205054/,[法] 雨果 , 人民文学出版社 , 1992-6 , 66.00元,8.9,"(
                    32787人评价
                )"
球状闪电,https://book.douban.com/subject/1192090/,刘慈欣 , 四川科学技术出版社 , 2005-6 , 22.00元,8.7,"(
                    34168人评价
                )"
海贼王,https://book.douban.com/subject/1474773/,尾田荣一郎 , 浙江人民美术出版社 , 2007-11 , 7.50元,9.5,"(
                    30199人评价
                )"
失恋33天,https://book.douban.com/subject/4238754/,鲍鲸鲸 , 中信出版社 , 2010-1 , 25.00元,8.1,"(
                    36274人评价
                )"
史蒂夫·乔布斯传,https://book.douban.com/subject/6798611/,[美] 沃尔特·艾萨克森 , 中信出版社 , 2011-10-24 , 68.00元,8.7,"(
                    33206人评价
                )"
鹿鼎记（全五册）,https://book.douban.com/subject/1212893/,金庸 , 广州出版社 花城出版社 , 2008-3 , 108.00元,8.8,"(
                    32658人评价
                )"
东霓,https://book.douban.com/subject/4874131/,笛安 , 长江文艺出版社 , 2010-7-1 , 26.80元,8.1,"(
                    35126人评价
                )"
飞鸟集,https://book.douban.com/subject/1058661/,[印] 罗宾德拉纳德·泰戈尔 , 哈尔滨出版社 , 2004-6 , 16.80元,8.9,"(
                    31954人评价
                )"
长恨歌,https://book.douban.com/subject/1082349/,王安忆 , 南海出版公司 , 2003-8 , 22.00元,8.2,"(
                    34683人评价
                )"
海底两万里,https://book.douban.com/subject/1085470/,[法国] 儒尔·凡尔纳 , 译林出版社 , 2002-9 , 19.50元,8.4,"(
                    33698人评价
                )"
历史深处的忧虑,https://book.douban.com/subject/1027191/,林达 , 生活·读书·新知三联书店 , 1997-5 , 19.00元,9.0,"(
                    30695人评价
                )"
你一定爱读的极简欧洲史,https://book.douban.com/subject/5366248/,约翰·赫斯特（John Hirst） , 广西师范大学出版社 , 2011-11-25 , 25.00元,8.2,"(
                    34055人评价
                )"
富爸爸，穷爸爸,https://book.douban.com/subject/1033778/,（美）罗伯特・T・清崎 , 世界图书出版公司 , 2000-09 , 18.80,8.2,"(
                    33394人评价
                )"
倚天屠龙记(共四册),https://book.douban.com/subject/1070851/,金庸 , 三联书店 , 1999-04 , 0,8.5,"(
                    31753人评价
                )"
大地之灯,https://book.douban.com/subject/1963310/,七堇年 , 长江文艺出版社 , 2007-1 , 22.00元,8.2,"(
                    33148人评价
                )"
你今天真好看,https://book.douban.com/subject/26602392/,[美]莉兹•克里莫 ,天津人民出版社 , 2015-8 , 39.00元,8.7,"(
                    31278人评价
                )"
伊豆的舞女,https://book.douban.com/subject/1005521/,[日] 川端康成 , 广西师范大学出版社 , 2002-2 , 23.80元,8.2,"(
                    33226人评价
                )"
水浒传（全二册）,https://book.douban.com/subject/1008357/,[明] 施耐庵 , 人民文学出版社 , 1997-1 , 50.60元,8.5,"(
                    31217人评价
                )"
雷雨,https://book.douban.com/subject/1013416/,曹禺 , 人民文学出版社 , 1999-05 , 9.20,8.6,"(
                    31261人评价
                )"
时间简史,https://book.douban.com/subject/1034282/,[英] 史蒂芬·霍金 , 湖南科学技术出版社 , 2010-4 , 45.00元,8.8,"(
                    29823人评价
                )"
一九八四·动物农场,https://book.douban.com/subject/1082387/,[英] 乔治·奥威尔 , 上海译文出版社 , 2003-4 , 23.00元,9.3,"(
                    28078人评价
                )"
西游记（全二册）,https://book.douban.com/subject/1029553/,吴承恩 , 人民文学出版社 , 2004-8 , 47.20元,8.8,"(
                    29464人评价
                )"
中国历代政治得失,https://book.douban.com/subject/1003479/,钱穆 , 生活·读书·新知三联书店 , 2001 , 12.00元,9.1,"(
                    28221人评价
                )"
香水,https://book.douban.com/subject/1292416/,[德] 帕·聚斯金德 , 上海译文出版社 , 2005-5 , 20.00元,8.5,"(
                    30435人评价
                )"
橙,https://book.douban.com/subject/5327697/,安东尼 , 长江文艺出版社 , 2010-10 , 28.80元,8.2,"(
                    31535人评价
                )"
红与黑,https://book.douban.com/subject/1007433/,斯丹达尔 , 译林出版社 , 1993-7-1 , 20.00元,8.2,"(
                    31743人评价
                )"
看不见的城市,https://book.douban.com/subject/1863930/,[意大利]伊塔洛·卡尔维诺 , 译林出版社 , 2006-8 , 16.00元,8.8,"(
                    29181人评价
                )"
瓦尔登湖,https://book.douban.com/subject/1865089/,[美] 梭罗 , 上海译文出版社 , 2006-8 , 11.00元,8.4,"(
                    30754人评价
                )"
最好的我们,https://book.douban.com/subject/24754316/,八月长安 , 湖南文艺出版社 , 2013-8-5 , 55,8.8,"(
                    28644人评价
                )"
匆匆那年（上下）,https://book.douban.com/subject/2567919/,九夜茴 , 东方出版社 , 2008-1 , 29.00,8.3,"(
                    31219人评价
                )"
影响力,https://book.douban.com/subject/1786387/,[美] 罗伯特·西奥迪尼 , 中国人民大学出版社 , 2006-5 , 45.00元,8.6,"(
                    29557人评价
                )"
狂人日记,https://book.douban.com/subject/1398395/,鲁迅 , 京华出版社 , 2006-3 , 39.80元,8.7,"(
                    29058人评价
                )"
世界尽头与冷酷仙境,https://book.douban.com/subject/1291809/,[日] 村上春树 , 上海译文出版社 , 2002-12 , 23.00元,8.6,"(
                    29726人评价
                )"
江城,https://book.douban.com/subject/7060185/,[美] 彼得·海斯勒 , 上海译文出版社 , 2012-1 , 36.00元,9.0,"(
                    27718人评价
                )"
陆犯焉识,https://book.douban.com/subject/6880158/,严歌苓 , 作家出版社 , 2011-10 , 35.00元,8.8,"(
                    28215人评价
                )"
冰与火之歌（卷一）,https://book.douban.com/subject/1336330/,[美] 乔治·R. R. 马丁 , 重庆出版社 , 2005-5 , 68.00元,9.3,"(
                    26551人评价
                )"
把时间当作朋友,https://book.douban.com/subject/3609132/,李笑来 , 电子工业出版社 , 2009-6 , 32.00元,8.5,"(
                    29624人评价
                )"
那些年，我们一起追的女孩,https://book.douban.com/subject/1958227/,九把刀 , 花山文艺出版社 , 2007-1 , 20.00元,8.2,"(
                    30320人评价
                )"
夏洛的网,https://book.douban.com/subject/1036274/,[美] E.B.怀特 , 上海译文出版社 , 2004-5 , 17.00元,8.5,"(
                    28720人评价
                )"
往事并不如烟,https://book.douban.com/subject/1059336/,章诒和 , 人民文学出版社 , 2004-1 , 35.00元,8.6,"(
                    28074人评价
                )"
我与地坛,https://book.douban.com/subject/1209899/,史铁生 , 春风文艺出版社 , 2002-5 , 25.00元,9.0,"(
                    26747人评价
                )"
呼兰河传,https://book.douban.com/subject/1060852/,萧红 , 百花文艺出版社 , 2005-01 , 19.00,8.9,"(
                    27424人评价
                )"
阿狸·梦之城堡,https://book.douban.com/subject/3554154/,hans , 上海锦绣文章出版社 , 2009-1 , 36.80元,9.0,"(
                    26683人评价
                )"
七夜雪,https://book.douban.com/subject/1919201/,沧月 , 北京十月文艺出版社 , 2006-10 , 25.00元,8.4,"(
                    28203人评价
                )"
自控力,https://book.douban.com/subject/10786473/,[美]  凯利·麦格尼格尔 , 文化发展出版社(原印刷工业出版社) , 2012-8 , 39.80元,8.3,"(
                    29148人评价
                )"
天使与魔鬼,https://book.douban.com/subject/1228110/,[美] 丹.布朗 , 人民文学出版社 , 2005-2 , 29.80元,8.1,"(
                    29250人评价
                )"
ZOO,https://book.douban.com/subject/2297697/,[日] 乙一 , 当代世界出版社 , 2007-10 , 20.00元,8.6,"(
                    27583人评价
                )"
浮生六记,https://book.douban.com/subject/1088581/,（清）沈复 , 人民文学出版社 , 1999-1 , 5.70元,8.9,"(
                    27233人评价
                )"
变形记,https://book.douban.com/subject/1213546/,[奥] 卡夫卡 , 浙江文艺出版社 , 2003-4 , 16.00元,8.4,"(
                    27910人评价
                )"
蔷薇岛屿,https://book.douban.com/subject/1063190/,安妮宝贝 , 作家出版社 , 2002-8 , 18.00元,8.0,"(
                    29265人评价
                )"
国境以南 太阳以西,https://book.douban.com/subject/1015452/,[日] 村上春树 , 上海译文出版社 , 2001-8 , 13.50元,8.3,"(
                    27951人评价
                )"
人生,https://book.douban.com/subject/3803820/,路遥 , 北京十月文艺出版社 , 2009-5 , 20.00元,8.4,"(
                    26823人评价
                )"
最初的爱情 最后的仪式,https://book.douban.com/subject/4011440/,[英] 伊恩·麦克尤恩 , 南京大学出版社 , 2010-2 , 22.00元,8.0,"(
                    28395人评价
                )"
京华烟云,https://book.douban.com/subject/1391191/,林语堂 , 陕西师范大学出版社 , 2005-7 , 43.00元,8.5,"(
                    26107人评价
                )"
人性的弱点全集,https://book.douban.com/subject/1056295/,[美] 戴尔·卡耐基 , 中国发展出版社 , 2008-1 , 25.00元,8.3,"(
                    26626人评价
                )"
没有色彩的多崎作和他的巡礼之年,https://book.douban.com/subject/25733470/,[日] 村上春树 , 南海出版公司 , 2013-10-1 , 39.50元,8.2,"(
                    26649人评价
                )"
生活在别处,https://book.douban.com/subject/1013225/,[捷克] 米兰·昆德拉 , 上海译文出版社 , 2004-5 , 25.00元,8.4,"(
                    26239人评价
                )"
文学回忆录（全2册）,https://book.douban.com/subject/20440644/,木心 讲述 , 广西师范大学出版社 , 2013-1-10 , 98.00元,9.2,"(
                    23487人评价
                )"
一句顶一万句,https://book.douban.com/subject/3633461/,刘震云 , 长江文艺出版社 , 2009-3 , 29.80,8.7,"(
                    24702人评价
                )"
佛祖在一号线,https://book.douban.com/subject/4872671/,李海鹏 , 文化艺术出版社 , 2010-6 , 25.00元,8.2,"(
                    26174人评价
                )"
心是孤独的猎手,https://book.douban.com/subject/1424741/,[美] 卡森·麦卡勒斯 , 上海三联书店 , 2005-8 , 25.00元,8.5,"(
                    25126人评价
                )"
设计中的设计,https://book.douban.com/subject/1941558/,[日] 原研哉 , 山东人民出版社 , 2006-11 , 48.00元,8.6,"(
                    24740人评价
                )"
尼罗河上的惨案,https://book.douban.com/subject/1818347/,[英] 阿加莎·克里斯蒂 , 人民文学出版社 , 2006-5 , 22.00元,8.7,"(
                    24302人评价
                )"
激荡三十年（上）,https://book.douban.com/subject/1970428/,吴晓波 , 中信出版社 浙江人民出版社 , 2007-1 , 35.00,8.8,"(
                    23823人评价
                )"
我执,https://book.douban.com/subject/3642673/,梁文道 , 广西师范大学出版社 , 2010-10 , 35.00元,8.0,"(
                    26328人评价
                )"
未来简史,https://book.douban.com/subject/26943161/,[以色列] 尤瓦尔·赫拉利 , 中信出版集团 , 2017-2 , 68.00元,8.4,"(
                    24569人评价
                )"
我的天才女友,https://book.douban.com/subject/26878124/,[意] 埃莱娜·费兰特 , 人民文学出版社 , 2017-1 , 42.00元,8.5,"(
                    24867人评价
                )"
项链,https://book.douban.com/subject/1258498/,[法] 莫泊桑 , 河北教育出版社 , 2005-2 , 28.00元,8.3,"(
                    24635人评价
                )"
偷书贼,https://book.douban.com/subject/2180619/,[澳] 马克斯·苏萨克 , 南海出版公司 , 2007-8 , 25.00元,8.0,"(
                    25618人评价
                )"
九州·缥缈录,https://book.douban.com/subject/1321017/,江南 , 新世界出版社 , 2005-6 , 20.00元,8.8,"(
                    22424人评价
                )"
父与子全集,https://book.douban.com/subject/1002898/,[德] 埃·奥·卜劳恩 绘 , 中国工人出版社 , 2003-4 , 20.00元,9.2,"(
                    21697人评价
                )"
我的精神家园,https://book.douban.com/subject/1014578/,王小波 , 文化艺术出版社 , 1997 , 18.80元,9.1,"(
                    21836人评价
                )"
流浪地球,https://book.douban.com/subject/3266609/,刘慈欣 , 湖北长江出版集团，长江文艺出版社 , 2008-11 , 28.00元,8.7,"(
                    27795人评价
                )"
罗生门,https://book.douban.com/subject/3136271/,[日]芥川龙之介 , 上海译文出版社 , 2008-7 , 12.00元,8.7,"(
                    22854人评价
                )"
妻妾成群,https://book.douban.com/subject/1025753/,苏童 , 上海文艺出版社 , 2004-8 , 23.00元,8.2,"(
                    24031人评价
                )"
野火集,https://book.douban.com/subject/1426971/,龙应台 , 文汇出版社 , 2005-8 , 25.00元,8.8,"(
                    22264人评价
                )"
人间词话,https://book.douban.com/subject/1203426/,王国维 , 上海古籍出版社 , 1998-12-01 , 9.80元,9.0,"(
                    21663人评价
                )"
占星术杀人魔法,https://book.douban.com/subject/3187737/,[日] 岛田庄司 , 新星出版社 , 2008-9 , 28.00,8.3,"(
                    22962人评价
                )"
海子的诗,https://book.douban.com/subject/1011754/,海子 , 人民文学出版社 , 1999-04 , 15.40,8.9,"(
                    21501人评价
                )"
一千零一夜,https://book.douban.com/subject/1035848/,纳训 , 人民文学出版社 , 2003-01 , 22.0,8.6,"(
                    22315人评价
                )"
浪潮之巅,https://book.douban.com/subject/6709783/,吴军 , 电子工业出版社 , 2011-8 , 55.00元,9.1,"(
                    20774人评价
                )"
第一炉香,https://book.douban.com/subject/1082162/,张爱玲 , 花城出版社 , 1997-3 , 11.5,8.4,"(
                    22826人评价
                )"
芳华,https://book.douban.com/subject/27010212/,严歌苓 , 人民文学出版社 , 2017-4 , 39.00元,8.1,"(
                    23422人评价
                )"
教父,https://book.douban.com/subject/1092335/,[美]马里奥·普佐 , 译林出版社 , 1997-8 , 23.30元,9.0,"(
                    20945人评价
                )"
舞！舞！舞！,https://book.douban.com/subject/1020670/,[日] 村上春树 , 上海译文出版社 , 2002-6 , 25.00元,8.3,"(
                    22954人评价
                )"
娱乐至死,https://book.douban.com/subject/1062193/,[美] 尼尔·波兹曼 , 广西师范大学出版社 , 2011-6 , 29.80元,8.6,"(
                    22244人评价
                )"
面纱,https://book.douban.com/subject/10560798/,(英)W.萨默塞特·毛姆 , 重庆 , 2012-05-01 , 32.00元,8.7,"(
                    21578人评价
                )"
雨季不再来,https://book.douban.com/subject/2136140/,三毛 , 北京十月文艺出版社 , 2007-7 , 28.00元,8.7,"(
                    21488人评价
                )"
斯通纳,https://book.douban.com/subject/26425831/,[美] 约翰·威廉斯 ,上海人民出版社 , 2016-1 , 39.00元,8.8,"(
                    20939人评价
                )"
高效能人士的七个习惯（精华版）,https://book.douban.com/subject/1048007/,[美] 史蒂芬·柯维 , 中国青年出版社 , 2011-6 , 29.00元,8.2,"(
                    22131人评价
                )"
动物凶猛,https://book.douban.com/subject/1143694/,王朔 , 中国电影出版社 , 2004-2 , 15.5,8.3,"(
                    22011人评价
                )"
万水千山走遍,https://book.douban.com/subject/1036490/,三毛 , 哈尔滨出版社 , 2003-08 , 13.80,8.8,"(
                    20395人评价
                )"
哈姆莱特,https://book.douban.com/subject/1006197/,[英] 莎士比亚 , 人民文学出版社 , 2001-1 , 7.00元,8.5,"(
                    21141人评价
                )"
子不语1,https://book.douban.com/subject/4188697/,夏达 , 新世纪出版社 , 2009-12 , RMB36.00,9.0,"(
                    19648人评价
                )"
小姨多鹤,https://book.douban.com/subject/3012517/,严歌苓 , 作家出版社 , 2008-4 , 28.00元,8.6,"(
                    20843人评价
                )"
罗杰疑案,https://book.douban.com/subject/1807516/,[英] 阿加莎·克里斯蒂 , 人民文学出版社 , 2006-5 , 21.00元,8.9,"(
                    19747人评价
                )"
观念的水位,https://book.douban.com/subject/20463108/,刘瑜 , 浙江大学出版社 , 2013-1 , 36.00元,8.3,"(
                    21412人评价
                )"
台北人,https://book.douban.com/subject/5337248/,白先勇 , 广西师范大学出版社 , 2010-10 , 38.00元,8.9,"(
                    19666人评价
                )"
夹边沟记事,https://book.douban.com/subject/3239549/,杨显惠 , 花城出版社 , 2008-09 , 34.00元,9.2,"(
                    18832人评价
                )"
爱的艺术,https://book.douban.com/subject/3026879/,[美] 艾·弗洛姆 , 上海译文出版社 , 2008-4 , 15.00元,8.8,"(
                    19773人评价
                )"
巨流河,https://book.douban.com/subject/4842446/,齐邦媛 , 生活·读书·新知三联书店 , 2010-10 , 39.00元,8.7,"(
                    20080人评价
                )"
中国大历史,https://book.douban.com/subject/1015699/,黄仁宇 , 生活·读书·新知三联书店 , 2007-2 , 19.00元,8.3,"(
                    21036人评价
                )"
雾都孤儿,https://book.douban.com/subject/1203251/,[英]狄更斯 , 上海译文出版社 , 1991-7 , 10.10元,8.1,"(
                    21414人评价
                )"
动物庄园,https://book.douban.com/subject/1018136/,（英）乔治·奥威尔 , 上海人民出版社 , 2000-08 , 18.00,9.1,"(
                    18767人评价
                )"
寻羊冒险记,https://book.douban.com/subject/1031740/,[日] 村上春树 , 上海译文出版社 , 2001-8 , 18.80元,8.1,"(
                    21138人评价
                )"
白银时代,https://book.douban.com/subject/1082150/,王小波 , 花城出版社 , 1997-5 , 10.00元,8.4,"(
                    20452人评价
                )"
新参者,https://book.douban.com/subject/6746289/,[日] 东野圭吾 , 南海出版公司 , 2011-9 , 28.00元,8.4,"(
                    20374人评价
                )"
琅琊榜,https://book.douban.com/subject/2326571/,海宴 , 朝华出版社 , 2007-12 , 49.80元,8.5,"(
                    19311人评价
                )"
云中歌1,https://book.douban.com/subject/2283084/,桐华 , 作家出版社 , 2007-9 , 24.80元,8.1,"(
                    20841人评价
                )"
枪炮、病菌与钢铁,https://book.douban.com/subject/1813841/,[美] 贾雷德·戴蒙德 , 上海世纪出版集团 , 2006-4-1 , 45.00元,8.8,"(
                    19041人评价
                )"
带一本书去巴黎,https://book.douban.com/subject/1001885/,林达 , 生活·读书·新知三联书店 , 2002-5 , 35.00元,8.5,"(
                    19607人评价
                )"
告白,https://book.douban.com/subject/3920130/,湊佳苗 , 時報文化 , 2009年8月31日 , NT$250,8.6,"(
                    19281人评价
                )"
红拂夜奔,https://book.douban.com/subject/1418686/,王小波 , 江苏文艺出版社 , 2005-1 , 28.00元,8.6,"(
                    19201人评价
                )"
来不及说我爱你,https://book.douban.com/subject/1886385/,匪我思存 , 新世界出版社 , 2006-9 , 20.00元,8.1,"(
                    20448人评价
                )"
相约星期二,https://book.douban.com/subject/2194123/,[美] 米奇·阿尔博姆 , 上海译文出版社 , 2007-7 , 19.00元,8.4,"(
                    19539人评价
                )"
退步集,https://book.douban.com/subject/1003284/,陈丹青 , 广西师范大学出版社 , 2005-1 , 38.00元,8.1,"(
                    20172人评价
                )"
可爱的洪水猛兽,https://book.douban.com/subject/3860856/,韩寒 , 万卷出版公司 , 2009-08-01 , 25.00元,8.1,"(
                    20134人评价
                )"
新名字的故事,https://book.douban.com/subject/26986954/,[意] 埃莱娜·费兰特 , 人民文学出版社 , 2017-4 , 59.00元,9.0,"(
                    18092人评价
                )"
